"Index","Tokens"
"75","[play, stack, correct, advanced, year, dice, project, simple, american, program, bit, good, cover, hit, prior, implication, create, text, international, struggle, case, fairy, image, method, pez, work, kind, constructor, count, tomorrow, cultural, piece, flexible, science, desk, true, difference, playing, suit, card, object, coin, datum, study, week, code, color, student, candy, idea, capacity, lot, dispenser, remember, computer, interestingly, current, nominal, array, parameter, design, class, introduction, live, quiz, include, practical, question, learn, interesting, teach, start, revisit, false, familiar, call, face, apcs, answer, complicate, complicated, overly, front, inch, time, thing, simply, fun]"
"76","[reason, country, disconnect, couple, software, year, importantly, feel, project, decide, hope, experience, good, presentation, problem, poor, continue, host, create, reply, write, day, powerpoint, order, attractive, resource, work, understand, pay, plenty, develop, real, feeling, version, benefit, senior, expand, longer, demonstration, support, greatly, full, lucky, request, generously, idea, book, edition, update, teaching, learning, turn, video, subsequently, educator, teacher, spend, grace, share, hard, copy, free, capitalist, reward, mentore, grateful, pretty, disclosure, chance, living, survive, charge, business, sell, start, appeal, people, pair, underpaid, awesome, site, pdf, money, material, publish, online, comment, time, stuff]"
"77","[data, feel, project, bag, language, program, blog, good, professional, number, post, scheduling, create, html, text, day, write, fairy, jive, app, development, read, markup, work, lesson, suppose, tool, prioritization, feed, planning, system, hydroponics, processing, word, concordance, love, datum, code, purpose, idea, book, link, exercise, learning, mess, remind, teacher, interest, trouble, definition, speak, table, sit, editor, pretty, honestly, introduce, cool, start, appeal, follow, clean, textual, picture, prioritize, call, material, build, time, thing, fun, base, stuff]"
"78","[declare, year, language, experience, good, meaningful, ambiguity, high, problem, differentiate, beginner, school, context, talk, helpful, write, day, programming, case, knowledge, diminutive, add, spell, development, closely, read, misspell, work, programmer, module, understand, difficult, handle, sensitive, check, sort, fill, tool, intelligence, exist, warn, forget, letter, hint, ides, difference, correction, assume, fussy, blank, code, inference, student, unclear, teaching, error, long, smart, lot, computer, current, teacher, extra, scope, design, trouble, speak, continual, experienced, notice, editor, relatable, pretty, question, spelling, teach, parse, message, people, wrong, call, typo, artificial, answer, build, variable, easier, thing]"
"79","[explain, correct, aide, awful, experience, meaningful, cover, high, school, visual, talk, write, struggle, group, cache, item, usual, work, understand, pay, insist, priority, science, gui, demonstrate, send, object, larger, request, code, student, diligently, careful, skip, error, interface, lot, remember, computer, invalidation, today, spend, hard, copy, class, pretty, figure, display, suggestion, start, fault, draw, joke, wrong, expect, form, answer, build, easier, attention, step, time, thing, board]"
"80","[education, software, year, advanced, bring, program, fair, advance, properly, number, problem, music, balance, supplies, lock, block, plan, case, hardware, goal, natural, issue, lose, impact, testing, understand, wonderful, priority, easy, input, system, install, science, spot, placement, device, upset, teaching, long, educator, lot, computer, refuse, actively, administer, key, hand, mind, website, art, manager, decision, btw, involve, people, picture, wrong, thing, prohibit, administration, replace, secure, lab, hit, biggest, school, shortage, find, surprise, imagine, test, resource, complain, insist, tool, absolutely, support, ease, week, student, concept, instrument, network, principal, administrator, teacher, ally, standardized, hard, department, hear, notice, figure, cost, teach, counter, technology, room, manage, schedule, trade, management, short, easier, base]"
"81","[college, education, year, focus, decide, program, convert, number, elective, experiment, pick, presence, python, passionately, work, pace, lesson, opportunity, wonderful, scratch, require, 6th, classroom, agree, philosophy, creative, innovative, comfortable, grade, science, integration, detail, enroll, favorite, care, sheena1010, love, teaching, grader, local, summer, educator, clay, sixth, coding, computer, flexibility, encourage, web, docent, shout, flip, grateful, include, art, mini, break, learn, cool, tired, launch, curriculum, team, continuously, adopter, integrate, site, fast, answer, watch, bug, instruction, afraid, showcase, describe, thing, interview, grad, open, fun, magic, couple, eager, administration, project, express, serve, blog, faster, differentiate, biggest, school, find, continue, advocacy, club, create, creativity, programming, discover, dedicated, curious, level, constrain, 8th, tool, camp, lack, relevant, expand, unit, forget, volunteer, watercolor, measure, personally, specialist, background, improve, district, elementary, final, position, send, child, supportive, differentiation, code, submit, student, idea, kid, learning, medium, content, administrator, teacher, public, hour, joy, ready, today, factor, packed, class, early, hear, digital, move, wide, subscribe, introduce, interesting, teach, start, 7th, specific, room, environment, material, engage, challenge, online, step, time, stem, base]"
"82","[practice, depend, year, advanced, happy, program, crash, cover, path, problem, visual, block, drag, api, text, write, struggle, case, app, issue, large, applab, opportunity, mood0, easy, traditional, slow, phone, comfortable, device, card, sophisticated, curve, enjoy, teaching, punch, lot, confess, place, connect, toy, side, set, learn, nest, cheap, great, people, face, bug, future, complicated, obvious, thing, wrap, small, indicator, disability, debugger, project, screen, feel, language, experience, good, translate, school, beginner, day, programming, group, combine, add, area, format, real, list, tool, lack, emulator, success, blame, bunch, basic, drop, limitation, code, student, purpose, concept, learning, interface, error, platform, head, usable, general, teacher, fortran, design, today, debugging, class, pretty, figure, previous, teach, mobile, start, control, message, application, syntax, idiom, time, base, snap]"
"83","[big, software, year, reliably, honor, hall, project, hopeful, program, school, prep, finish, drag, day, plan, reduce, actual, period, issue, settled, work, adapt, tomorrow, lesson, 6th, real, iphone, emulator, phone, adjustment, completely, support, request, study, student, idea, teaching, switch, lot, feature, fall, load, ready, free, class, foot, connect, teach, 5th, room, freshman, schedule, meet, semester, risk, thing]"
"84","[big, education, depend, year, bring, hall, bit, iot, robot, fit, relate, convinced, drag, text, exhibit, educate, write, plan, order, azure, shape, large, younger, night, lose, classroom, coursework, priority, propose, push, booth, exist, science, offering, reality, silver, device, wait, aim, enjoy, lot, promote, computer, web, experimentation, older, free, email, hand, blockly, product, learn, curriculum, people, integrate, awesome, thing, stuff, story, project, language, blog, good, space, presentation, cloud, post, fine, school, surprisingly, talk, programming, programable, combination, add, hunt, development, check, tool, core, piece, demonstrate, internet, option, drop, game, virtual, week, student, session, link, demo, usable, spend, kit, bullet, hear, pretty, practical, introduce, teach, interesting, mobile, follow, application, build, service, online, time, interested, aws, walk, base]"
"85","[small, big, attend, jumpstart, year, sign, bring, hall, focus, feel, decide, good, cloud, fan, reflect, trip, contribution, problem, late, leave, friend, exhibit, meeting, day, conversation, group, app, hallway, workshop, tomorrow, opportunity, wonderful, personal, iste, booth, relevant, volunteer, desk, science, true, registration, support, conference, student, university, session, idea, educator, lot, computer, search, cap, teacher, common, web, company, track, early, key, exhibitor, learn, forward, introduce, assignment, interesting, technology, great, nifty, afternoon, schedule, awesome, dime, service, reunion, interested, time, travel, family, thing, open]"
"86","[country, smaller, hall, program, hope, good, crash, number, find, host, friend, volunteering, context, connection, hat, state, exhibit, day, conversation, announcement, workshop, work, night, ribbon, wonderful, community, morning, expand, involved, desk, registration, chapter, code, conference, role, wear, industry, summit, educator, dollar, lot, yesterday, highlight, diversity, leadership, spend, today, company, reception, early, connect, committee, previous, learn, bigger, interesting, start, follow, dinner, great, people, afternoon, expect, overwhelming, foster, time, visit, interested, grant, @alfredtwo, board]"
"87","[lunch, sign, hall, project, language, program, bit, good, robot, impaired, post, talk, connection, block, exhibit, plan, actual, python, resource, opportunity, classroom, develop, collection, check, fill, version, morning, science, reality, registration, notch, send, device, engaged, virtual, blind, code, student, idea, wear, training, availability, demo, ride, educator, mention, lot, highlight, computer, teacher, fall, top, spend, visually, eat, physical, reception, early, situation, pretty, pilot, starter, explore, btw, headset, teach, cool, start, involve, people, dinner, nice, awesome, adhd, online, time, open, pricing]"
"88","[play, college, lunch, education, teals, year, program, professional, number, coloring, write, plan, flow, work, pack, badge, science, letter, difference, conference, save, industry, teaching, inspiring, worth, lot, computer, diversity, ton, vocabulary, low, share, free, panel, graphic, accountability, key, surprised, include, pleasantly, website, set, explore, learn, bigger, curriculum, great, people, food, partner, meet, skeptical, machine, inspire, thing, fun, economic, celebrity, country, couple, attend, impressed, project, good, influence, frequency, cloud, reference, high, blogg, trivial, school, beginner, surprisingly, talk, finish, helpful, day, conversation, keynote, worry, area, individual, level, resource, count, volunteer, instructor, ethic, success, soar, support, game, technical, neural, student, session, idea, concept, book, link, privacy, training, learning, expectation, video, house, content, life, network, usable, security, total, teacher, similarity, playground, company, track, early, digital, move, pretty, attendee, introduce, assignment, teach, interesting, start, tensor, dinner, room, nifty, special, responsive, online, time, account, walk]"
"89","[play, big, education, software, year, program, hope, remote, building, concern, feedback, lms, problem, poor, catch, write, plan, case, jump, happen, closely, issue, large, work, testing, handle, easy, comfortable, science, exclusively, remotely, server, treatment, aim, industry, teaching, functionality, summer, educator, lot, computer, current, fall, cookbook, web, place, distribute, man, situation, connect, learn, change, team, people, expect, powerful, machine, instruction, conferencing, thing, open, small, door, feel, retirement, constantly, good, earlier, solution, school, host, disadvantage, resource, campus, adapt, germ, tool, hybrid, suited, month, person, catchup, improve, solve, survey, worst, collect, send, option, child, virtual, student, university, scale, learning, training, breath, teacher, skill, company, factory, chance, effectively, advantage, assignment, teach, start, zoom, follow, service, online, attention, time, aws, family, pricing]"
"90","[big, screen, recommendation, laptop, good, concern, fit, number, school, limit, talk, day, meeting, fully, add, ideal, solid, large, work, lesson, understand, sort, easy, tool, lack, involved, child, option, datum, larger, complexity, note, deal, compare, conference, role, student, automatically, chatter, settle, privacy, simplicity, teaching, point, smart, switch, lot, security, computer, teacher, design, station, company, share, power, hard, class, early, normal, side, creator, address, participate, learn, clear, zoom, control, monitor, intuitive, picture, equal, call, calm, face, meet, online, time, window, thing, open, attendance]"
"91","[prepare, backup, software, year, sturdy, vary, remote, laptop, firm, reliable, problem, gamer, connection, write, meeting, case, hardware, wifi, large, work, preference, lose, personal, gradebook, easy, eventuality, distraction, system, light, webcam, comfortable, grade, remotely, hurt, hang, extraneous, industry, teaching, recommend, computer, fall, ear, noise, share, speak, place, copy, event, camera, side, set, decision, learn, break, chair, suspect, people, opinion, face, meet, household, thing, minimum, principle, invaluable, buy, screen, main, office, good, spring, debate, faster, fine, find, jsut, microphone, day, conversation, mileage, image, ideal, equipment, workstation, longer, forget, easiest, background, person, speaker, demonstrate, option, distract, wired, submit, student, idea, rule, video, house, switch, network, aware, teacher, desktop, busy, sheet, microwave, cost, headset, teach, center, purchase, multiple, argue, monitor, zoom, expensive, build, online, easier, semester, developer, time, avoid, window, deliberate, attendance]"
"92","[expert, education, year, bring, focus, bit, equity, professional, offer, number, reliable, easily, connection, write, happen, issue, transparently, work, fairly, require, version, easy, system, slide, grade, reality, remotely, server, deal, access, save, guarantee, functionality, smart, long, lot, ton, share, attach, close, connect, include, set, honestly, manager, learn, cool, involve, people, great, face, fast, framework, answer, powerful, partner, collaboration, machine, thing, stuff, couple, separate, deck, feel, project, language, simple, blog, space, presentation, tie, edge, post, beginner, fine, find, create, talk, day, potential, programming, group, realize, read, test, finally, ide, real, sort, girl, sharing, tool, survey, topic, higher, option, virtual, rough, code, student, idea, session, link, mess, introductory, head, minimal, teacher, today, spend, screw, hard, harder, class, live, process, move, teach, start, control, permission, pair, truth, build, easier, online, step, semester, time, window, base]"
"93","[prepare, education, advanced, bit, number, character, stick, write, struggle, researcher, method, active, classroom, require, handle, tough, insight, system, science, ides, indication, care, love, fact, activity, teaching, industry, lot, computer, peer, term, creation, silent, question, change, great, people, phd, single, hide, idleness, answer, throw, metric, progress, thing, stuff, commercial, feel, project, good, faculty, presentation, high, school, talk, helpful, generate, add, visible, educational, sort, ide, list, tool, adjust, unreliable, support, higher, code, hiring, student, idea, scale, error, delete, point, aware, effective, total, admit, teacher, common, spend, trouble, hard, harder, track, class, notice, move, amount, interesting, teach, specific, manage, build, automate, online, syntax, front, time, wall]"
"94","[couple, select, conditional, vary, subject, reach, buy, pedagogy, bit, operator, compile, white, culturally, price, find, write, foreword, guide, programming, jump, knowledge, navigate, read, goal, scaffolding, edit, work, author, invent, doubt, scratch, check, list, version, contents, convince, improve, science, bunch, x-ing, full, attitude, boundary, chapter, color, student, book, recommend, learning, veritable, educator, worth, dollar, computer, teacher, spend, extra, skill, speak, event, belief, table, hear, rest, disclosure, expression, learn, teach, center, black, suspect, integrate, pair, diagram, meet, collaboration, publish, learner, responsive, variable, pathway, illustration, formative, strategy, base]"
"95","[reason, thought, year, mixing, ccl, building, culturally, minesweeper, jump, energy, impact, community, booth, cultural, exam, guess, science, poster, inclusively, 12th, conference, role, activity, document, instructional, global, long, proponent, retire, term, free, tooth, hand, website, outstanding, mini, involve, people, 9th, integrate, call, pull, awesome, watch, inspire, progress, formative, thing, wrap, country, couple, attend, deck, project, incorporate, quest, presentation, assessment, blogg, post, compile, school, leave, talk, swift, brush, count, develop, girl, list, warm, support, child, drop, session, idea, book, concept, description, rule, update, learning, video, title, disruptive, tutorial, early, enhance, digital, overview, attendee, wide, teach, start, technology, room, csta, material, airplane, time, window, grant, age, base, stem, play, lunch, happy, ago, program, hope, feedback, usability, review, casual, connection, model, enter, write, plan, case, goal, large, work, lesson, tomorrow, classroom, slide, favorite, valuable, love, paragraph, save, exercise, range, disseminate, teaching, guy, matter, thinking, lot, computer, fall, member, speak, copy, include, side, reliance, explore, break, change, curriculum, ethical, great, nice, picture, lead, site, chat, instruction, organization, randomly, fun, stuff, sound, networking, experience, listen, reference, download, high, hacking, portfolio, find, create, day, potential, keynote, presenter, individual, resource, illustrate, sort, cybersecurity, tool, relevant, unit, task, rigorous, person, bunch, game, code, student, chatter, link, remark, platform, head, general, computing, teacher, paper, today, spend, peanut, village, hear, butter, chance, interesting, clear, sandwich, requirement, specific, minute, afternoon, authentic, online, visit, interested, user, chatting, account]"
"96","[college, career, accurate, commit, program, laptop, approach, preparation, incubate, number, graduation, graduate, sight, catch, obstacle, case, generation, calculator, mile, opportunity, community, demand, underestimate, innovator, plastic, mission, afford, slow, field, provide, slide, science, difference, math, word, fact, circuit, gender, privilege, long, lot, computer, low, broader, attach, include, funding, non-issue, team, cheap, great, people, picture, face, thing, small, adequate, fee, invest, lab, good, hold, high, school, leave, scholarship, limit, finish, female, potential, group, textbook, conflate, showstopper, degree, engineering, non-binary, longer, background, support, underprivileged, full, income, student, university, abundance, link, rule, strive, pursue, common, hurtle, extra, gap, today, statement, non-privileged, advantage, control, technology, expensive, spread, fund, short, challenge, time, grant]"
"97","[voice, gift, education, policymaker, recommendation, experience, tremendous, participant, continue, contact, enter, directly, confidential, resource, understand, appreciation, optional, insight, improve, science, survey, detail, vital, support, card, contribute, association, membership, computer, current, teacher, encourage, provider, national, hear, receive, participate, question, learn, teach, raffle, curriculum, specific, minute, evolve, conduct, meet, response, organization, challenge, time, invite, complete, choice, landscape]"
"98","[explain, reason, practice, constant, software, ago, simple, source, program, explanation, bit, attempt, good, meaningful, professional, red, number, regularly, character, problem, biggest, beginner, poor, talk, helpful, strict, write, struggle, conversation, knowledge, read, work, programmer, lose, frustration, documentation, count, understand, brace, lack, system, person, job, support, theory, deceive, limitation, game, technical, student, secret, turn, error, long, lot, poem, spend, occasionally, place, close, win, experienced, opaque, curly, idiot, bigger, interesting, teach, clear, start, familiar, message, people, great, newer, call, blue, complicate, developer, handling, time, user, fun]"
"99","[love, distance, idea, project, exercise, accuracy, simple, program, integer, type, error, good, general, talk, programming, conversation, educational, large, cartoon, mile, introduce, occur, impact, interesting, weight, require, velocity, involve, xkcd, great, imaging, benefit, morning, round, money, kilometer, difference, step, thing, centigrade, assign]"
"100","[play, expert, beauty, fiction, sound, taste, bit, listen, compute, number, view, humor, music, find, friend, create, talk, narrow, write, case, laugh, level, night, understand, sense, real, list, system, difference, wine, artist, idea, book, deaf, mid, enjoy, learning, matter, wave, aware, head, computer, today, human, funny, hear, creation, hand, art, process, identify, learn, lover, start, people, joke, master, wrong, 1960, machine, tasting, report, time, thing, re-read]"
"101","[reason, argument, depend, software, bad, simple, good, debate, high, problem, fitness, find, safety, create, day, sake, write, case, algorithm, goal, solid, issue, wife, work, equipment, sort, article, system, competitive, completely, placement, device, average, activity, student, link, guy, secret, mess, smart, life, computer, search, secrecy, car, engine, responsibility, openness, tracker, company, track, consumer, situation, amount, gaming, side, opaque, previous, decision, advantage, forward, unfairly, control, suspect, involve, people, arguably, money, step, opacity, thing, user, account, base, discuss]"
"102","[explain, chapter, student, concept, exercise, cover, post, friend, painful, write, class, email, case, lieu, textbook, pretty, test, learn, assignment, interesting, understand, misunderstand, jest, tough, suppose, people, crap, insight, professor, instruction, mock, exchange, step, complete, thing, age]"
"103","[play, practice, software, mechanic, language, express, foreground, program, hope, resolution, fascinate, reference, character, model, block, directly, generate, programming, combination, computational, webinar, app, goal, natural, work, ultimate, testing, informally, refine, classroom, engineering, establish, tool, intelligence, provide, convince, domain, guideline, handheld, topic, bridge, job, support, conflict, datum, game, code, student, unexpected, idea, concept, parallelism, pattern, rule, learning, video, medium, matching, lot, tend, non-player, paper, low, web, interest, design, browser, gap, debugging, physical, behavior, popular, creation, sit, website, gaming, pretty, cost, explore, previous, tilecode, learn, interesting, confidence, sandbox, specification, specific, people, computation, call, artificial, build, discovery, machine, thing, base]"
"104","[play, big, chapter, couple, substitution, code, minor, student, book, link, project, update, simple, bit, good, reference, transposition, computer, solution, spark, interest, gentle, criticism, write, cipher, include, solid, learn, edit, interesting, cryptography, real, footnote, article, step, comment, thing, intend, fun, stuff]"
"105","[play, qualified, prepare, decade, career, education, focus, program, type, building, preparation, evaluation, problem, join, struggle, knowledge, algorithm, solid, work, programmer, require, classroom, certification, enthusiasm, science, deal, conference, teaching, industry, educator, summer, worth, lot, computer, vocabulary, top, aspect, seldom, place, close, regular, include, set, btw, question, learn, involve, people, fortunate, great, wrong, generally, expect, depth, complicated, minimum, standard, argument, principle, couple, prepared, subject, pedagogy, main, language, networking, wtih, experience, lab, good, high, post, school, beginner, conversation, programming, group, development, ideal, test, resource, workshop, real, article, core, external, person, ethic, solve, job, support, internet, private, complication, week, student, university, link, training, mess, media, content, network, tend, security, teacher, hear, highly, rest, move, figure, pretty, social, effectively, interesting, teach, start, multiple, argue, specific, cousin, complaint, management, build, deeper, semester, growth]"
"106","[fancy, depend, program, discussion, bit, number, experiment, pick, optimization, review, clever, bottleneck, horrible, weather, friend, easily, write, knowledge, algorithm, period, work, lose, exceptional, understand, lesson, rewrite, benchmark, system, slow, geek, tiny, binary, letter, 1980, understandable, inefficient, care, compare, deal, cut, save, turn, matter, smart, worth, lot, remember, computer, low, noise, hand, iterate, middle, honestly, learn, efficient, fastest, column, suspect, involve, team, people, great, logical, generally, instruction, machine, thing, operation, fun, represent, calculation, quick, couple, dimensional, buy, project, simple, language, source, experience, faster, optimize, beginner, function, rare, create, huge, day, generate, programming, conversation, worry, actual, development, level, cryptography, clearer, sort, formal, month, piece, person, improve, playing, collect, datum, code, string, critical, book, foo, frequent, speed, smarter, hour, array, today, spend, bitwise, define, ignore, company, row, compiler, class, live, execution, pretty, amount, outperform, living, interesting, minute, performance, trade, application, build, complicate, easier, short, time]"
"107","[play, couple, bee, select, happy, bring, feel, project, decide, language, program, experience, bit, hope, approach, meaningful, problem, post, fine, basically, reply, write, sake, struggle, programming, algorithm, issue, journey, work, tomorrow, pay, wonderful, relevance, longer, guess, solve, grade, hardest, care, code, prove, technical, purpose, student, achieve, motivation, concept, destination, enjoy, learning, effort, matter, papers, demo, long, educator, lot, effective, feature, defense, today, motivate, event, harder, hear, initial, learn, interesting, teach, satisfaction, people, opinion, puzzle, learner, challenge, fun, assign]"
"108","[prepare, focus, main, cover, high, earlier, bat, find, academic, broad, create, plan, jump, group, presenter, resource, practitioner, work, lesson, surprising, intelligence, field, ethic, speaker, science, guest, bunch, favorite, explicitly, week, color, activity, student, production, link, interact, teaching, learning, industry, video, point, highlight, computer, diversity, public, variety, aspect, today, power, place, class, introduction, set, question, race, teach, cross, start, impressive, zoom, involve, curriculum, people, great, minute, artificial, build, timely, machine, organization, typical, short, fun, weave, age, represent]"
"109","[play, reason, half, select, depend, data, nun, bring, project, lie, simple, alphabet, program, shin, number, tie, high, gimmel, solution, post, action, create, write, case, group, dreidel, actual, period, agreement, usual, method, programmer, fairly, community, odd, overload, celebration, mutual, highest, letter, note, complexity, game, const, activity, student, idea, jewish, turn, holiday, point, lot, top, pot, load, public, flat, share, place, protect, relationship, class, player, side, set, teach, display, interesting, multiple, start, compareto, nice, token, call, face, traditionally, round, inspire, spin, obvious, semester, time, thing, assign]"
"110","[decade, education, minor, vary, subject, invest, program, hope, good, professional, number, high, habit, major, school, continue, find, basically, understanding, create, nerd, judge, conversation, goal, solid, work, programmer, understand, list, easy, heart, population, measure, rigorous, success, science, biologist, basic, job, love, study, student, idea, concept, choose, turn, matter, point, lot, computer, computing, teacher, interest, today, hard, harder, class, chemist, pretty, learn, teach, interesting, objectively, mathematician, people, prioritize, single, expect, build, succeed, time, novelist, thing, base]"
"111","[thought, year, project, decide, integer, convert, bit, nested, number, cast, blogg, post, loop, leave, friend, create, calculate, day, programming, case, height, hypotenuse, usual, issue, programmer, scratch, easy, month, solve, exact, math, amusement, compare, string, student, idea, kid, exercise, cute, demo, triangle, point, result, array, floating, today, ignore, class, pythagorean, itch, rest, pretty, figure, set, determine, cool, equation, display, nice, opinion, cheat, width, challenge, short, comment, interested, simplify, thing, fun, mathematical, assign]"
"112","[big, year, usage, good, uncertain, cloud, closing, post, solution, biggest, school, pick, continue, honest, friend, easily, huge, potential, plan, laugh, jump, development, read, virtually, opportunity, equipment, classroom, wayside, tool, emulator, guess, person, ides, crazy, send, device, virtual, conference, student, idea, kid, enjoy, lot, computing, teacher, fall, retire, company, share, physical, sterilize, hear, move, pretty, middle, learn, teach, change, start, suspect, increase, people, joke, opinion, watch, machine, online, growth, time, thing, fun, base]"
"113","[college, play, big, parent, practice, career, education, year, advanced, focus, program, type, bit, hope, professional, fit, cover, offer, number, path, problem, differently, clever, deepest, prep, educate, plan, case, energy, hardware, shape, require, version, creative, resistance, route, moot, science, shoehorn, curse, reality, blessing, wind, love, average, strong, wait, ahead, teaching, thinking, long, smart, summer, lot, computer, current, search, web, share, place, free, set, starter, learn, curriculum, suspect, people, great, likewise, freshman, watch, exciting, progress, constraint, thing, stuff, principle, mature, officer, honor, sign, feel, project, language, developed, good, cloud, amazing, edge, post, school, basically, day, potential, programming, group, area, development, curious, usual, test, resource, logically, unavoidable, plenty, constrain, sort, admission, develop, list, tool, piece, recruit, topic, carry, bunch, option, full, limitation, squeeze, virtual, deep, technical, student, idea, motivation, link, training, learning, point, administrator, computing, teacher, spend, hard, dive, factor, class, pretty, teach, interesting, start, clear, mobile, message, magnet, room, momentum, apcs, application, cram, approve, service, overwhelming, growth, semester, time, comprehensive, coming, base]"
"114","[couple, practice, strength, year, project, recommendation, program, incorporate, blog, reference, password, problem, tape, post, solution, leave, magnetic, implement, day, write, plan, conversation, algorithm, efficiency, scaffolding, read, usual, typically, archive, toss, benefit, tool, provide, solve, safe, boost, bunch, evaluate, card, valuable, option, accessible, compare, code, memory, string, student, university, idea, muse, technique, noodle, turn, punch, remind, lot, remember, pop, flexibility, teacher, dectape, era, today, share, hand, mind, recover, set, honestly, interesting, parse, rethink, people, structure, opinion, form, throw, attic, future, step, comment, time, fun, assign]"
"115","[reason, thought, bad, year, awake, hope, salary, number, firm, differently, review, preacher, strict, case, guide, audience, large, work, enthusiasm, distraction, evaluate, teaching, dead, industry, eventually, occurrence, matter, mandatory, educator, lot, believer, lecture, stand, event, mix, graphic, regular, side, btw, cool, great, people, picture, stay, actor, amazed, face, stage, owe, sound, language, good, presentation, post, school, contagious, justice, sage, dynamic, train, hallmark, read, presenter, pay, pressure, sort, article, tool, formal, professor, instructor, personally, speaker, topic, job, enthused, entertain, game, entertaining, student, link, effort, training, video, polished, computing, transform, teacher, skill, today, definition, greatest, notice, pushback, social, teach, interesting, start, material, form, entertainer, dynamism, attention, comment, front, base]"
"116","[big, focus, determination, decide, ego, attempt, professional, modest, problem, graduation, review, draft, honest, join, state, write, order, solid, intellectually, wife, work, enthusiast, classroom, accurately, version, benefit, exist, input, field, adopt, science, force, drive, word, valuable, longest, document, exercise, teaching, industry, long, smart, educator, lot, computer, flexibility, flaw, top, writing, learn, involve, reviewer, team, intellectual, curriculum, suspect, heed, people, picture, lead, newer, framework, thing, discuss, standard, couple, subject, prepared, invest, feel, good, view, high, post, late, provoke, school, find, limit, emphasis, day, actual, development, read, level, kind, varied, sort, list, task, politics, private, student, idea, scientist, university, k12, computing, teacher, public, spend, working, definition, hard, physical, live, experienced, process, interesting, confidence, start, match, fault, reviewing, follow, workable, learner, comment, time]"
"117","[parking, big, bus, semi-trailer, software, depend, compact, declare, advanced, feel, simple, blog, type, good, space, hold, motorcycle, overflow, major, beginner, leave, find, property, understanding, talk, programming, realize, knowledge, waste, identifier, read, method, large, work, handle, philosophy, easy, article, insight, size, allocate, science, spot, hardest, placement, object, larger, deep, consciously, memory, student, truck, box, matter, vehicle, remember, lot, computer, car, ready, design, attribute, class, experienced, regular, set, question, efficient, cacm, teach, store, people, logical, answer, complicate, complicated, variable, obvious, developer, location, time, thing, base]"
"118","[explain, big, couple, education, minor, evidence, teals, corn, feel, program, supply, good, faculty, professional, output, fit, high, problem, overflow, major, biggest, post, school, shortage, understanding, model, adjunct, conversation, worry, tension, grow, level, excited, work, pay, require, handle, real, expense, demand, worse, professor, volunteer, instructor, recruit, science, style, higher, status, cut, seed, hire, student, university, unclear, link, industry, life, point, capacity, remember, lot, tend, computer, administrator, cap, teacher, rate, low, eat, hard, place, harder, pinch, undervalue, stat, move, middle, cost, monetary, decision, teach, interesting, start, increase, phd, people, great, face, money, build, interested, time, undergraduate]"
"119","[stack, bad, year, honor, ago, project, decide, simple, program, blog, constantly, good, relate, find, horrible, annual, property, create, day, qualify, fairy, realize, goodness, proposal, pez, method, work, easy, exist, task, improve, object, datum, love, deal, conference, candy, student, idea, concept, dispenser, disappoint, design, place, class, learn, introduce, strike, teach, implementation, interesting, smack, follow, great, nifty, call, expect, semester, time, visit, fun]"
"120","[big, career, decade, bad, software, year, program, type, number, character, extremely, foundational, horrible, easily, stick, meaningless, write, algorithm, hardware, grow, work, understand, require, easy, version, rewrite, accept, slow, rely, adopt, consideration, card, object, fact, document, save, eventually, substitute, long, punch, lot, goto, library, feature, modern, structured, term, mix, completion, replicate, famous, expression, set, decision, change, revisit, call, thing, board, feel, language, repetition, good, harmful, fwiw, oop, loop, day, programming, nasty, surprise, read, orient, divisible, cleaner, check, tool, true, basic, support, datum, week, code, memory, paradigm, student, university, concept, book, universally, proper, quantum, computing, paper, hour, rate, fortran, design, today, statement, class, monolithic, teach, argue, structure, boolean, variable, easier, comment, time, forever, wall, base]"
"121","[leader, education, select, year, focus, competition, incorporate, program, blog, experience, equity, maximize, score, review, merge, exclusive, combine, order, adequately, goal, touch, opportunity, merit, priority, expand, field, science, folk, detail, send, compare, access, crucial, highlight, computer, diversity, knowledgeable, award, feature, federal, share, collective, mechanism, recieve, include, move, process, participate, reviewer, increase, interested, grant, stem, base]"
"122","[minecraft, love, student, kid, teach, curriculum, demo, great, computer, teacher, person, motivate, science, thing]"
"123","[country, select, accurate, data, hut, good, ski, compute, problem, bias, state, grain, resort, meeting, algorithm, resident, area, parcel, town, large, count, understand, garbage, personal, sense, sucker, sort, list, population, transparency, topic, support, evaluate, societal, amusement, full, datum, average, cut, student, concept, choose, house, retail, beehive, aware, lot, result, conclusion, computer, admit, low, eat, definition, older, place, live, park, hear, subjective, salt, historic, outstanding, decision, density, observation, clear, store, people, opinion, boring, attraction, permanent, short, visit, time, tempting, operation, thing, age, base]"
"124","[big, education, thought, year, ring, leading, promoter, hate, worker, slate, phenomenal, knowledge, grow, large, work, understand, agree, community, tough, push, seat, critically, system, science, valuable, care, strong, city, bios, smart, lot, impress, computer, lean, member, builder, share, term, free, email, hand, art, disclosure, decision, involve, great, people, meet, throw, chat, choice, thing, board, cent, impressed, feel, advocate, inside, experience, good, incumbent, nominate, edge, create, hat, representative, add, educational, read, commitment, doubt, sort, remarkable, toughest, institutional, background, ethic, job, full, tireless, politics, candidate, teacher, stronger, nominee, vote, early, move, election, opening, pair, special, performance, disagree, earn, comment, time]"
